"model","user","system","elapsed"
"logistic_reg",5313.86,24.62,5371.44
"KNN",3629.12,18.06,3672.64
"logistic_reg",2568.9,13.16,2736.64
"KNN",3763.32,17.5,3813.05
"tree tuning",13.0599999999995,0.719999999999999,14.5699999999997
"tree tuning",15.619999999999,1.25,17.0900000000001
"tree tuning",15.1899999999987,0.990000000000009,16.380000000001
"tree tuning",4.63999999999942,0.269999999999996,4.97000000000116
"tree fit",52.1299999999974,0.659999999999997,53.5300000000025
"neural network",12134.59,183.48,1155.47
"neural network",4850.89,92.98,370.4
"neural network",4759.66,88.25,379.72
"neural network",3516.15,63.94,271.51
"neural network",30815.75,471.07,2164.3
"neural network",4897.71,93.47,385.639999999999
